prompt,response
Which  programs  have  the earliest  deadlines?,Programs  like Stanford  Summer  Session  and RISE  at Boston  University  tend  to open  and close  early  sometimes  as soon  as November  or December.  Yale Young  Global  Scholars  (YYGS)  is  also due in October.  Its best  to start  looking  in the fall and track  deadlines  in a shared  calendar  or document. Our blog  has advice to assist you in planning effectively!
Which  subject  teachers  should  choose  to write  the letter  for me?,"Its a good idea to get one letter from a class in which you write essays (English, history,  etc) and one from a class in which you complete problem sets (biology, math, etc). This  will demonstrate your ability and engagement across academic disciplines. If you have  two particularly strong relationships with teachers in similar disciplines, speak to your  counseling team to determine if its best for you to demonstrate capability across  disciplines,  or to lean  on your  strong  relationships  with  teachers  within  similar   disciplines."
Which  summer  programs  should  I apply  to?,"Summer program options often depend on a students age or grade level. For example,  SummerBrown  and Columbia Summer Immersion  are two popular programs among  Grade 9 students; while Yale Young Global Scholars , Summer Science Program , and  Whartons Leadership in the Business World  are reserved for upperclassmen. Keep an  eye out for selective  summer  programs  hosted  by top universities  with  the opportunity   to learn from scholars."
"Which  universities  are test-blind,  test-flexible,  test-optional,  and test-required?","The UCs are test blind,  but as stated  before,  its best  to check  on this at the time  of  application here is a helpful resource   httpswww.collegedata.comresourcesprepare -and-applytest -optional -test-blind - whats - the-difference"
Which APIB courses are the most rigorous and how should I prepare for them?,"There is no absolute answer for whether or not  one course is more rigorous than  another.  Some  kids are strong  in math,  for both  AP Calculus  courses  might  be easy  and  just a pathway to multivariable calculus or linear algebra.   Just the same,  following  up on my answer  to question  1, if an applicant  plans  to pursue  a tech  or STEM  major,  AP courses  in math  and science  will seem  to be the most  rigorous  because usually they are the highest level of courses offered at certain high schools.   Keep in mind that not all high schools offer AP courses because those schools are not  satisfied with the way those courses are taught. So, it is important for families to  understand  this and must  identify  which  courses  match  up with  AP courses.  They  can ask  the applicants academic advisor or IGP counselor.   To prepare  for rigorous  courses,  schools  will offer  a progression  of classes  that will give their students a foundation for those rigorous classes.  Classes  in an IB program  are separated  into high  level  or standard  level  courses.  The high  level, or HL, classes are the most rigorous."
Which colleges require SAT scores to be submitted?,This changes every year; its best to  check  the admissions  requirements  for all the  colleges  you are applying  to individually.
Which extracurricular activity can help with leadership?,"Just about any activity in which the student can make an impact on their school or community  can help the student demonstrate leadership and impact. In addition to being  the leader  of a  school  club,  students  should  consider  running  for student  council or student government roles  in their school. Students should also explore leadership opportunities beyond their school. See  the Community Involvement and Leadership  Cheat Sheet  for ideas."
Who  are the target  students  for the Sino -American  Economic  Forum  and the,"Similar to the Showcase, we feature high quality student projects and work at these platforms.  Given the specific themes of these events, student work related to these academic  domains   would  be featured  at these  platforms.  These  are public  events,  the audience tends to be  international.     21)     Not a LIL question.  Application  Counseling  1) What  are the application  deadlines  for US Schools?   2) What  are the application  deadlines  for UK Schools?   3) Which  schools  accept  Duolingo?   4) How  to compare  the score  between  Duolingo  and TOEFL?   5) Can you write  the essaysresume  supp  essays  for me?  6) What  is the expectation  GPA  for top 302010IVY?   7) How  to calculate  accumulative  GPA?   8) What  is weighted  or unweighted  GPA?   9) Which  grade's  GPA  is most  important?   10) What's  the consequence  if I get a C in Grade  9101112?   11) My GPA  is not high  but my ranking  is very  top. How  would  that impact  AO's  evaluation?   12) My GPA  is high  but my ranking  is not very  top. How  would  that impact  AO's  evaluation?   13) If my GPA  drops  in the 2nd semester  of G12,  will that impact  my admissions?   14) How  does  AO compare  GPA  from  different  schools?   15) If my school  does  not tell me my ranking,  how  can I know  whether  the GPA  is good  or not?   16) Which  is more  important,  keeping  A for my major  subject  or avoiding  C for the other   subject(s)?   17) Will GPA  for math  or STEM  subjects  be important  for non-STEM  students?   18) How  can I communicate  with  my teachers  to improve  my GPA?   19) How  can I communicate  with  my teachers  to improve  my GPA?   20) When  shall  I declare  my major  in college?   21) How  long  is the AC bootcamp?   22) When  will the AC bootcamp  happen?   23) Who  will teach  the AC bootcamp?   24) What  is the goal  for the AC bootcamp?   25) I have  not started  the PS, should  I join the AC bootcamp?   26) I have  finished  the draft  of the PS, should  I join the AC bootcamp?  Activity  List"
"Who  has the final  say in deciding  the school  list? Is it me, the counselor,  or a joint  decision?","Who  has the final  say in deciding  the school  list? Is it me, the counselor,  or a joint  decision?"
"Who  has the final  say in school  selection?  Is it the parents,  the child,  or the counselor?",The family. We hope that its a collaborative process and the studentsparents take our advice   into strong  consideration  as they  are making  their  decisions.  We only  want  to help and give  advice that provides the student with the most positive outcomes when the process is over.
Why  is an FAO  helpful?,"   An Former  Admissions  Officer  (FAO)  is helpful  for many  reasons!    They  were  involved  in making  decisions  for who  got in, and who  didnt,  at a selective  college. From these experiences they have a deep understanding of what it takes to  stand out in the college admissions process.    They  will provide  your  with  strategic  advice  on academic  preparation  like what  classes  to  take  at school,  when  to take  standardized  tests,  and how  to demonstrate  your  strengths  through outside of school academic programs like summer programs and competitions.    They  will help  guide  your  interest  exploration,  which  is a key piece  of your  Candidacy  Building.    They will help you with your extracurricular enhancement by helping you design  signature  projects,  research  projects,  and other  activities  to support  your  Application  Persona"
Why  is interest  exploration  important  for CB?,"This is the first step  in developing  an application  persona,  which  we can then  build  a profile  around. Without exploring your interests and choosing a majordirection to pursue, the  application persona will be very broad and not compelling."
Will a letter  from  the headmaster  help?,"That depends. When it comes to supplemental application materials, in general less is  more. Universities know exactly what materials they need to evaluate your candidacy,  and thats what they ask for. Teacher recommendations are important as they provide  the context about who you are in the classroom. Counselor recommendations are  important  because  they  provide  universities  an understanding  of how  you fit in your   class and school overall. Any additional or supplemental letters of recommendation  should provide new information or a new perspective that cant be found in the other  letters of recommendation, and some universities may not accept supplemental letters  of recommendation. If your headmaster has a unique understanding of you, your  academics, or your trajectory, then they could absolutely make a strong supplemental  letter of recommendation! If you dont have a specific relationship with the  headmaster, then  their  letter  is unlikely  to make  a significant  difference  in your   applications.  Speak  to your counseling team if you have any questions about the  suitability of asking your headmaster for a letter of recommendation."
Will applying  to summer  programs  increase  my chances  of being  admitted  to the same  school?,The vast majority  of top schools  explicitly  note  that admission  to their  summer  programs  do not impact admission to their undergraduate degree programs.
Will my child  receive  college  credit  for the courses  taken?,"Perhaps!  It depends  on the program.  Some  offer  credit -bearing  courses,  while  others  are  non-credit  enrichment  experiences.  Keep  in mind  that college  admissions  officers  value  learning  and growth, regardless of credit. Having college credit from a pre -college program does not  mean your student can or should apply as a transfer student."
"Will the workshop  cover  different  types  of writing  styles  required  for college   applications, such as personal essays and supplemental essays?","While the class does discuss personal essays in published form, it does not explicitly  focus  on college  essays.  However,  the skills  built  in the course  can be directly  applied  to  all forms of college essays."
Will we be analyzing  and critiquing  each  other's  work?,"You will read  and present  your  work  to the class  weekly  and receive  preliminary  feedback from peers. However, students will not critique each others work."
Will you create  a personalized  school  selection  plan  based  on my child's  specific  circumstances?,"Yes, we will carefully  review  all aspects  of a students  future  college  application  portfolio. This  includes geographic location, GPA, test scores, activities list, major of interest, and potential  for the student to have access to pre -professional opportunities like internships and  research.   For example,  if a US resident,  we will typically  recommend  our students  to apply to at least one  public school located in their state, due to the in -state advantage in acceptance rate often  afforded by these schools."
"Will you help  me analyze  which  schools  are reach,  match,  and safety  schools?","Yes, we ensure we achieve a balanced list of schools for our students, making sure they are   aiming  high  while  also having  backup  options  just in case.  We encourage  students  to explore a  multitude of campuses and to not only rely on the biggest names. It is great to have a school  list that is a mix of both."
"Will you help  students  connect  with  their  target  schools?  For example,  attending   online information sessions or communicating with admissions officers.","We recommend  that students  attend  in-person  and virtual  events  for as many  schools  as will  make sense for them to build a solid idea of their preferences. We dont facilitate AO  communications, but if there is a public -facing email address for a regional AO, and it makes  sense for the student to contact them, we will help them with the drafting of their message."
Will you provide  psychological  counseling?  Help  children  maintain  a positive  attitude?,"We are always looking for ways to help our students and to provide support, guidance,  and help   throughout  their  college  application  process.  While  we are not licensed counselors, we get to  know our students very well and do the best we can to maintain a healthy and positive attitude  during this time. We consistently ask  our students  about  specific  things  we can do to help  them   and provide  an ear to listen to how they are feeling when needed."
Would  AOs prefer  me taking  more  AP courses  than  my peers?,Only  within  the context  of what AP courses are actually offered at your school.
Would  AP Calculus  BC (xx course)  matter  when  applying  to business  (xx major)?,"Not necessarily. However, taking AP Calculus or a high -level, unrelated class (like AP  Biology  even  if you plan  to major  in literature)  demonstrates  to admission  committees  that the student is serious about non -major -related classes; and, therefore, are more  prepared to handle any academic challenge thrown at them. Taking and doing well in  high -level courses is more appealing to admission committees."
Would  it make  me look  bad if both  of my letters  are from  Chinese  teachers?,No! You should  ask for recommendations  from  teachers  who  will best  be able  to speak  to who you are as a student. The ethnicity of the recommender does not play a role in  how the recommendation is evaluated.
What is Typical Month-by-Month Timeline for Application counselling or AC?,"May
Finalize Summer Plans

Finalize Testing Plans

Determine & Ask for Letters of Recommendation (LoRs)

Watch AC Orientation videos: Session 1, Session 2, Session 3, and Session 4.

Complete Pre-AC Homework Prior to Three-Way Meeting with GC and FAO, including:

Create and Share Common App Account

Share Score Reports and Transcripts for Grades 9–11 (as available)

Share School Profile and Past Results from High School

Select Teachers who will Write LoRs & start LoR Cover Letter

Summer Months (June – August)
US Independence Day Break – Counselors Offline July 4

Complete Introductory Three-Way Meeting with GC and FAO

Develop Working Relationship with Counselors

Research Schools a few days a week for ~15–30 min

Application Persona

Develop Application Persona with FAO

Review Application Persona Strategy in the Context of PS and Activities List with counselors

Activities & Honors Lists

Draft Activities & Honors Lists in Common App Format

Develop strategic list of Activities, Honors and Descriptions with GC

Personal Statement

Brainstorm Personal Statement Topics with GC

Brainstorm University of California (UC) Personal Insight Questions (PIQs) as fodder for Personal Statement and supplemental essays (even if you are not applying) with GC

Select and Counselors Approve Personal Statement Topic

Complete at least 2 rounds of edits of full draft of Personal Statement

Attend AC Bootcamp

Develop Tentative School List (choose 3–5 schools) with counselors

Schedule Third-Party Interview (e.g., InitialView, Vericant) for Sept/Oct (if applicable, consult your counselor) & Schedule InGenius Mock Interview

LoRs

Submit LoR Cover Letters to teachers & Consider Additional LoRs

Non-AC Work

Make Sure Academic Mentorship is in good progress (if applicable)

Make the Most of Summer Experiences:

Reflect on the Experiences

Brainstorm Stories that Could Be Included in Supplemental Essays

Important Notes:

You will transition from weekly meetings with your GC to biweekly meetings and written feedback after your 6th weekly meeting. You may have more frequent meetings based on the need and timing

By this time, you should have, at the very least, started on every aspect of the Homework, including the “High Achiever Status” (refer to Appendix for details)

September
US Labor Day – Counselors offline

Collect Transcripts with Final Grade 11 Scores and Grade 12 Courses

Edit and Finalize Activities List (add summer activities)

Check-In with Letters of Recommendation Writers (if needed, translate the letters of recommendation by the certified teacher or organization)

Finalize EA/ED Strategy and Early Schools

Schedule EA/ED Alumni Interviews & Schedule InGenius Mock Interview (only schedule mock if you didn’t already do one for third-party interview)

Revise Common App Personal Statement

Review Common App Form

Brainstorm EA/ED Supplemental Questions

If applying, begin writing UC PIQs based on earlier brainstorming

Parents prepare for Financial Certificate for EA/ED schools (if applicable)

Discuss test score submission strategy: SAT, ACT, SAT Subjects, AP, TOEFL

Send Standardized Test Scores to EA/ED schools

October
Complete third-party interview (e.g., InitialView, Vericant) by mid-October (if applicable)

School counselor and teachers submit transcript and LoRs for EA/ED schools (certified translation if needed)

Parents sign ED agreement (if applicable)

Finalize Common App Personal Statement

Finalize EA/ED Supplemental Essay(s)

Revise UC PIQs (if applying)

Complete EA/ED Schools Application Final Review

Send Final Review of application to FAO ideally 10 days–2 weeks before deadline

Implement Final Review feedback

Wait for GC approval to submit

Verify ED/EA Application Submission

Send submission screenshot to Google Group

Upload submitted application to your Google Drive Folder

November
InGenius Counselor/PM Break – Offline 11/2–11/4, Veteran’s Day

US Thanksgiving Break – Counselors/PMs Offline

Set up EA/ED school portals and confirm that ALL schools have received ALL required materials

Finalize School List (including ED2 and RD)

Schedule RD Alumni Interviews (if applicable)

Make any adaptations needed to the PS (word cuts) for Coalition Application, UC Application, or other formats for November, December, January deadlines

Submit Standardized Test Scores to ALL schools (including ALL RD schools)

School counselor and teachers submit LoRs and Transcripts to all schools (as early as possible and no later than 2 weeks before deadlines)

Parents Prepare for Financial Certificate for RD schools (if applicable)

If Applying to UC Schools:

Complete and Review UC System Application Form, especially the courses section (it takes a lot of time!)

Finalize UC PIQs

Finalize majors for each UC

Complete UC System Application Final Review

Send Final Review of application to FAO ideally 10 days–2 weeks before deadline

Implement Final Review feedback

Wait for GC approval to submit

Verify UC Application Submission (if applying)

Send submission screenshot to Google Group

Upload submitted application to your Google Drive Folder

December
Don’t Leave All Your Work for Winter Break — You’ll Thank Us Later!

Christmas Break – Counselors/PMs Offline 12/24–12/25

New Year Break – Counselors/PMs Offline noon 12/31 to noon 1/1 local timezone

EA/ED Results typically come out by 12/20

Parents sign ED2 agreement (if applicable)

Draft, Revise and Finalize ALL supplemental essays and materials

Schedule RD Alumni Interviews (if applicable)

Complete ALL RD Application Final Review

Send Final Review of applications to FAO ideally 10 days–2 weeks before deadline

Implement Final Review feedback

Wait for GC approval to submit

Verify Application Submission

Send submission screenshot to Google Group

Upload submitted application to your Google Drive Folder

January
Conduct Alumni Interview Prep

Share follow-up emails from schools with InGenius Prep counseling team

Set up school portals and confirm that ALL Schools have received ALL required materials

Submit ED/EA Deferral Letters of Continued Interest (if applicable)

InGenius Prep Education Team Break: January 27–31

February
Submit other relevant RD applications with later deadline

March
RD Admissions Results are announced

April
Share admissions results with InGenius Prep counseling team (by 4/5)

Counselors assist with Waitlist Letter(s) of Continued Interest (if included in package)

Counselors assist with Decision of Attendance (if needed)

Student & family provide Feedback and Testimonial to InGenius

May
Make a deposit at college of choice (by 5/1 or college’s stated deadline)

Enjoy your summer before college. Answer InGenius Service Survey."
What is the Overall To-Do List for 1 School for AC or Application counselling?,"?
Appendix B – Overall To-Do List for 1 School



Here’s the average list of the work for 1 school (ED as an example) for a student between the beginning of your work with us and Nov. 1st: 

1.	Attend or Watch AC Orientation Videos (Session 1, Session 2, Session 3, and Session 4) & complete “Required” section of the Homework assignment prior to first meeting with FAO and GC. (See Appendix B for full Homework details.)

2.	Select your ED school (1 school) and research it thoroughly with your counselors’ guidance.

3.	Write your Activity & Honors list & incorporate multiple rounds of feedback from your counselors.

4.	Write your personal statement and incorporate multiple rounds of feedback from your counselors.

5.	Write supplemental essays (normally between 1 and 3 essays for an ED school) and incorporate feedback from your counselors.

6.	Fill out the rest of your Common Application, including activities & honors section, as well as additional information / COVID question (if applicable). 

7.	Send all your test scores to schools (TOEFL, SAT, ACT, SAT Subject Tests, AP Exams). If school is test optional, follow your counselor’s guidance on whether to submit.

8.	Talk to your school guidance counselor about sending your transcript. Note: 9th grade is still middle school in China and South Korea, but U.S. and Canadian high schools include 9th-12th grade. Admissions officers will need to see your 9th through 12th grade transcript. If you repeated 9th grade, they will need to see both 9th grade transcripts. 

9.	Ask teachers for letters of recommendation either before leaving school for summer, or when returning to school in fall. Follow-up and remind teachers, build a strong relationship and share information about yourself with these letter writers, and pay for letter translation and notarization services (if needed). Make sure your teachers submit the letters online. 

10.	If applicable, register for a Third-Party Interview, complete practice interviews with your counselor, and send Third-Party interview videos to your ED school.

11.	Parents and school counselor sign ED agreement. 

12.	Parents prepare the financial certificate (if the ED school asks for it).

13.	Finally, allow time for a comprehensive Final Review from counselors before the application is submitted. For the Final Review, send a PDF of your completed application to your counselors. 

The FAO will provide one round of comprehensive feedback. Then, you will implement all these changes (proactively ask your FAO questions, as needed). After this feedback has been incorporated, your GC will do a Final Check and give you approval to submit the application. "
What should you do if your parents want to write essays for you? ,"Some parents, with the best intentions in the world, want to help their children by writing essays for them. We have seen, time and again, that this is not effective (and, of course, it’s not ethical either). 

It is obvious to an admissions officer that an adult has written an essay because of the tone and content of the essay (your counselors will likely know as well!). Instead of being a benefit to you, this will be a “red flag” that the admissions committee will take into consideration in your admissions decision. 

If your parents want to write essays for you, you can talk with them and tell them that this is a process where you want to have ownership, since it is about your college experience, and suggest productive ways for them to be involved, such as brainstorming potential essay content with you, helping you find resources on schools of interest, connecting you to current students / alums of different colleges, etc."
What if you and your parents disagree?,Your counselors are not here to solve your family miscommunications! You and your parents should talk about what you want out of your college experience so that you can advocate for yourself. We will do our best to advocate for you while also meeting your parents’ expectations.
How can you talk with your parents best? ,"Your parents will likely want to be involved in your application process, and you may have mixed feelings about this. Some students really want their parents to help them, while others want to make sure that this is a process about them. Either way, things will go the most smoothly if you TALK with your parents about what their expectations are and what your expectations are. 

We recommend that you have a check-in with your family at the beginning of the fall semester to make sure you are on the same page. You should continue to check in with your parents, especially about their thoughts on your school list."
When is Counselor/PM Time Off or Counselor/PM Time holidays?,"Counselor/PM time off is important to keep everyone fresh and bright-eyed, especially considering all the reading and editing your team is doing :). The following dates are some of the dates when your counselors and PMs will be offline and unresponsive via WeChat/Whatsapp and email, depending on their location and the holidays we observe. We will remind students about these breaks closer to the date, and your counseling team will make sure you have a clear to-do list before going offline. 

Specific Holidays that Impact the Application Cycle:

Juneteenth (June 19, 2024): Counselors/PMs in the US will be offline on Wednesday, June 19, to commemorate Juneteenth. 

Independence Day (July 4 and 5, 2024): Counselors/PMs in the US will be offline on Thursday, July 4th and Friday, July 5th, to celebrate US Independence Day. Any urgent emails sent on the 4th or 5th will be responded to by the 6th.

Labor Day (September 2nd, 2024): Counselors/PMs in the US will be off on Monday, September 2nd and will return to work on the 3rd. Any messages sent will be responded to by the morning of the 6th in the counselor’s local time zone.

Post-ED Break (November 2-4): After the Early Decision round of applications are submitted in early November, InGenius counselors/PMs take a much-needed few days off. This is often a good time for students to take a break as well before diving into further application work. 

Please respect this time off and know that they will respond to you as soon as they return from the break. 

Veteran’s Day (November 11): Counselors/PMs in the US will be offline on November 11 in observance of the holiday.

Thanksgiving (November 28-29, 2024): Counselors/PMs in the US will not work on Thanksgiving or the next day. However, any emails that you send to InGenius counselors on Thursday or Friday will be responded to by Saturday morning in the counselor’s local time zone.

Christmas (December 24-25): Both Christmas Eve (December 24) and Christmas Day (December 25) are recognized holidays where counselors will be unavailable. However, any emails that you sent to InGenius counselors on the 24th or 25th will be responded to by the morning of the 26th in the counselor’s local time zone. 

New Year’s Eve/New Year’s Day (December 31 - January 1): Counselors will be offline from noon on December 31 through noon on January 1 in their local time zone. It is in your best interest to have all of your applications that are due on January 1 submitted before the holiday!

Note: Counselors/PMs in other countries will be off based on the local national holiday policies. "
What are the Best Practices for Application Counseling?,"?	Check Genie/Email/WeChat regularly & use GROUP communication
ALL communication with your InGenius team should be done within your Google Group, via your account on the Genie platform, or through your WeChat group. Even when you think your email or message is only applicable to one of your counselors, you should always use group communication to ensure that your entire counseling team (FAO, GC, & PM) is updated on your progress. 

Often, you may ask a question to your GC that your FAO is more equipped to answer, or vice versa, so group communication is beneficial to all parties. 

?	Be respectful/polite to your counselors 
Your counselors work very hard on your behalf, especially working very long hours leading up to deadlines. They are also highly educated people who have your best interests at heart. You should always treat your counselors with respect, just like you would for your teachers at school. 

If your counselor isn’t meeting your expectations, you can talk with them honestly but politely about what you are hoping to accomplish or how they can better help you.

?	Develop your own independence 
The college admissions process is a time for you to show the colleges of your dreams what YOU can do. We are here to help guide you through the process and help you brainstorm, but the work is ultimately your own. 

If somebody else completes work for you, college admissions teams will often notice a change in a student’s voice in different essays. Again, the work must be your own!

?	Communicate even if you disagree with your counselor 
It’s important to note that your counselors are very talented individuals who either have experience working in an admissions office, or have attended colleges that are fiercely competitive. In other words, they know what they are talking about! 

However, it is understandable that you may have other ideas about what you can write about in your essays, or you might change your mind about how you feel about writing about certain topics. In these cases, you should share your feelings and explain why you think your alternatives are better. Successful communication will ensure that everyone is on the same page and moving forward together. Our counselors are more than happy to accommodate your feelings, as we don’t want anybody to be uncomfortable!

?	Attend (and be on time for!) all meetings with your counselors  
At the beginning of the application season, students will meet with their Graduate Coach (GC) and Former Admissions Officer (FAO) to get to know each other. After that, students will meet with their GC about once per week for the next 5 weeks (for a total of 6 weekly meetings), while their FAO provides guidance from the sidelines. 

FAOs will also join calls in which students solidify their college list and their essay topics. Once the weekly meetings have been completed , students and counselors will transition to biweekly meetings and will be able to do much more of their work through written feedback, so students will have less frequent meetings with their GC.

Students should provide at least 24 hours written notice for any cancellations of appointments with InGenius counselors. Any student shall be considered to have missed a meeting without advanced notice if the student does not join the meeting within 15 minutes of the scheduled time. Missed meetings  will not be made up on a different date.

?	Complete homework and adhere to deadlines 
You should complete your homework for your counselor at least 24 hours before your meeting time or by the due date your counselor set (whichever is earlier). 

If you get your homework to your counselor ahead of time, that means that you’ll be able to get more done during the meeting!

Students are responsible for checking their emails, especially any notifications in their university application portals, and submitting your applications by the time of the deadline.


?	Follow logistic details to ensure efficient & effective communication

?	You should name your documents with your NAME, TITLE, and DATE. For example, Harry Potter would title his document: 

“Harry Potter Duke Supplement 7/30/23”

?	If you are working on UK applications, please name all UK application documents by starting the title with ‘UK’. See how Harry would do it:

“UK: Harry Potter Personal Statement 7/30/23”

?	Use your Google Drive folder as the central place where you keep all documents related to Application Counseling. 

Add all of your documents here and remember to name them as described above."
What can you expect from InGenius if you have delayed your work? ,"InGenius wants to support you as much as we can in the days leading up to your deadline. However, if you have not shown investment in your work as we approach deadlines, your counseling team may no longer have the capacity to support you in your applications. We will also send warning letters to you and your parents.

Here is what you can expect from us if you have: 
a) Missed 3 meetings in a row 
b) Have not completed any assignments for 3 weeks without explanation or asking questions for clarifications OR 
c) Have not communicated anything to your counselors in more than 3 weeks without explanation:

Within 2 weeks of a deadline: 
?	Our team of backup editors will work on essay edits for you, and you can expect essays turned around in 2-3 days.
Within 1 week of a deadline: 
?	Our team of backup editors will work on essay edits for you, and you can expect essays turned around in 1-2 days.
Within 48 hours of a deadline: 
?	At this point, we will no longer offer a final review on your materials, but we can give you 1 round of feedback, which may be done by any counselor or backup editor on the InGenius team. "
What can you expect from InGenius in the final days leading up to the deadline? ,"If you send your FR 3+ days before deadline:
?	Your FAO will perform a thorough final review of your whole application (for EA/ED) and supplemental essays (RD). You will receive an email with feedback. It will take 24-72 hours to receive this feedback.
?	You will take your FAO’s feedback and revise your application based on their feedback. 
?	For any higher-level feedback, your GC will help you implement the changes that your FAO recommended and approve you to submit your application. 

If you send your FR 1-2 days before the deadline:
?	Your FAO will do their best to review, but your material may need to go to someone else on the InGenius education team due to time constraints
?	You will have very limited time to address any feedback
?	Your GC will have almost no time to double check that FAO feedback was fully addressed. Your GC will check to make sure you don’t have any typos and have addressed feedback from the FAO.
?	You are likely to submit your application on the day of the deadline (risking website crashing and other potential issues).

If you send your FR on the day of the deadline:
?	Your FAO will not be able to complete a full final review. Your materials are likely to go to someone else on the InGenius education team due to time constraints.
?	You will only receive feedback on grammar and typos. You will not receive content editing feedback.
?	You will have no time for GC Approval.
?	You will likely be submitting your application within hours of the deadline (risking website crashing and other potential issues).
?	If you need support in the submission process, your team  may not be available at the moment you press submit.
?	If you send any application materials within 3 hours of the deadline, your materials won’t get reviewed at all."
What can you do if you are experiencing stress or challenges with your mental wellbeing? ,"We know that the application season is incredibly stressful for students and families. You may be dealing with lots of high expectations from many different places, including yourself. "
What should you do if you feel like you need a “pause” from application counseling? ,"You should communicate with your counselor and say that you need a break. You and your counseling team should decide on the length of the break so you can create a plan together on how best to catch up on your work when you resume application counseling. 

It’s never helpful for you to simply “disappear” from your counseling team without any notice: you could fall behind and/or lose your counseling team. We want to ensure we can support you if you need a break, so please communicate so we can help you catch up."
What kind of support can you expect from your counselors regarding mental health? ,"Your counseling team are admissions counselors, not counselors trained in mental health. Your counseling team wants to give you emotional support but we cannot professionally give you advice regarding how to handle mental health diagnoses. 

You should make sure that you know a professional counselor or psychologist at your school or local community whom you can contact if/when you need additional support.

Additionally, ALL IGP students have access to one month of free therapy (up to four live sessions) with a therapist through Better Help/Teen Counseling. You can visit this website and use the access code 1ae77 to start the intake process any time. 

InGenius Prep will have NO information on whether you actually pursue care through BetterHelp and CANNOT access any information you provide to BetterHelp. We are by no means promoting BetterHelp’s services over other care providers, nor are we profiting from this opportunity. We are simply providing this additional resource in the hopes that it can help improve access to professional emotional and mental health support if or when IGP students need it."
What are the procedures for Pause in Application Counseling Service?,"If you choose to take a pause from working with InGenius for whatever reason, you can extend your AC package for one year but you will not be entitled to a refund. 

If you pause, you can return to working with us at the same date in the following calendar year (i.e. if you pause service in October, you can resume service in October of the following year) to complete the remaining work that you didn’t complete in the original year. 

You are not eligible to pause after November 1 (in this case, you would forfeit your remaining service). 

You will only be able to extend the package for a maximum of one year, and there will be no guarantee that you could work with the same counseling team when you return. "
Is there any Art/Music Portfolios available in AC or Application Counseling ?,Not included in any package.
Is there any Financial Aid support available in AC or Application Counseling ?,Not included in any package.
How to add Additional Schools  in AC or Application Counseling ?,Students may add more schools to their package on or before December 5th
Is there any scholarship support available in AC or Application Counseling ?,"InGenius Application Counseling services do not help with external scholarship applications or scholarships within a school’s application. If you want to apply to scholarships with extra essays, you may count that scholarship application as a school on your list (it will count as a reach school) or purchase a separate scholarship application package.  "
BS/MD Programs,Students who are interested in applying to BS/MD programs can either upgrade to a package that offers support for 3 schools and their BS/MD applications for an extra cost OR convert 2 regular schools on your list with us to count as 1 BS/MD program (and those programs are always considered “reaches”). 
Special Program Application Support,"For students applying to specialized programs with extra essays (outside of BS/MD programs), such as film/architecture/studio art/music programs, we can help with up to 1 extra essay required by this specialized program per school you are applying to, for up to 3 total extra essays. If the special program application requires more than 1 extra essay outside of the college’s regular essays or there are more than 3 extra essays total, then it will need to count as an additional school on your package with InGenius."
How is Interview prep  or Interview preparation in application counseling or AC?,"Your counselors will help prepare you for your first interview by doing interview preparation exercises. You will then have the opportunity to conduct a mock interview with an interviewer you don’t know and receive feedback.

Once you’ve prepared and conducted your mock interview, you should be able to use what you learned to do a great job in all of your interviews. Each student is allowed up to two (2) mock interviews (ideally one for the EA/ED round, and one for RD). You won’t need to do a separate mock interview for each interview you schedule."
How many Safety/Target/Reach schools should I have on my list for AC? ,"In order to ensure that your college applications are successful, we have implemented several policies to help maximize your results. Please refer to the following guidelines regarding how many schools you should apply to in each category—Reach, Target, and Safety—based on the Application Counseling (AC) package you have purchased:

For the 5-school package, you should apply to 4 reach schools and 1 target school. Safety schools are not explicitly required, but materials should be adapted as needed.

For the 8-school package, you should apply to 5 reach schools and 3 target schools. As with the 5-school package, safety schools are not a fixed requirement, but materials should be adapted accordingly.

For the 10-school package, you should apply to 5 reach schools (including 1 “reach for the moon” school), 3 target schools, and 2 safety schools.

For the 12-school package, you should apply to 6 reach schools (including 1 “reach for the moon” school), 4 target schools, and 2 safety schools.

For the 15-school package, you should apply to 7 reach schools (including 2 “reach for the moon” schools), 5 target schools, and 3 safety schools.

For the US + UK school package, you should apply to 5 reach schools and 3 target schools divided between the US and the UK, plus 1 US and 1 UK safety school. Alternatively, you may opt for 2 US safety schools and none in the UK, depending on your preferences.

For UK-only packages, you should apply to 2 reach schools, 2 target schools, and 1 safety school within the UK."
What counts as Safety/Target/Reach schools on my list? ,"While some schools are a “Reach” for some and a “Target” for others, it is important to note that any school with less than a 15% admission rate is considered a “Reach” for ALL who apply. InGenius counselors will not approve any school list that DOES NOT have at least 2 Safety Schools and 2 Target Schools. 

If a student does not agree to a school list approved by both counselors, the student and family must sign an official agreement (see Appendix C) acknowledging that they are explicitly going against the advice of the InGenius counselors. 	For students on all 5-school packages and 8-school packages, we recommend that students select several Target and Safety schools in addition to their school list with InGenius. Since you will reuse a lot of the materials you work on with your InGenius counselors to apply to schools on your own, we ask that you share those results with InGenius as well for our record and data collection purposes."
